participant_id	stimulus_id	total_domain_questions	domain_score	total_memory_questions	memory_score
sub-02	1	11	6	12	12
sub-02	2	10	5	11	6
sub-02	3	9	4	12	8
sub-02	4	9	6	12	8
sub-02	5	8	5	12	11
sub-03	1	11	7	12	8
sub-03	2	10	6	11	8
sub-03	3	9	8	12	9
sub-03	4	9	8	12	8
sub-03	5	8	2	12	9
sub-04	1	11	8	12	8
sub-04	2	10	7	11	8
sub-04	3	9	7	12	9
sub-04	4	9	5	12	12
sub-04	5	8	5	12	10
sub-05	1	11	9	12	11
sub-05	2	10	5	11	9
sub-05	3	9	8	12	9
sub-05	4	9	6	12	10
sub-05	5	8	3	12	12
sub-06	1	11	3	12	10
sub-06	2	10	4	11	7
sub-06	3	9	4	12	8
sub-06	4	9	4	12	5
sub-06	5	8	2	12	11
sub-07	1	11	9	12	11
sub-07	2	10	6	11	11
sub-07	3	9	8	12	10
sub-07	4	9	7	12	11
sub-07	5	8	5	12	12
sub-08	1	11	7	12	9
sub-08	2	10	5	11	9
sub-08	3	9	6	12	10
sub-08	4	9	7	12	8
sub-08	5	8	3	12	12
sub-09	1	11	0	12	8
sub-09	2	10	6	11	9
sub-09	3	9	4	12	6
sub-09	4	9	5	12	9
sub-09	5	8	3	12	9
sub-10	1	11	6	12	7
sub-10	2	10	8	11	8
sub-10	3	9	7	12	8
sub-10	4	9	7	12	6
sub-10	5	8	3	12	10
sub-11	1	11	5	12	7
sub-11	2	10	5	11	3
sub-11	3	9	5	12	7
sub-11	4	9	4	12	2
sub-11	5	8	4	12	9
sub-12	1	11	5	12	6
sub-12	2	10	4	11	3
sub-12	3	9	6	12	5
sub-12	4	9	6	12	6
sub-12	5	8	3	12	8
sub-13	1	11	6	12	5
sub-13	2	10	5	11	4
sub-13	3	9	6	12	7
sub-13	4	9	6	12	10
sub-13	5	8	3	12	11
sub-14	1	11	6	12	7
sub-14	2	10	4	11	4
sub-14	3	9	6	12	8
sub-14	4	9	5	12	9
sub-14	5	8	2	12	10
sub-15	1	11	6	12	3
sub-15	2	10	6	11	6
sub-15	3	9	5	12	9
sub-15	4	9	4	12	6
sub-15	5	8	3	12	11
sub-16	1	11	3	12	11
sub-16	2	10	5	11	8
sub-16	3	9	6	12	11
sub-16	4	9	7	12	7
sub-16	5	8	2	12	12
sub-17	1	11	6	12	11
sub-17	2	10	5	11	9
sub-17	3	9	4	12	9
sub-17	4	9	7	12	9
sub-17	5	8	5	12	11
sub-18	1	11	8	12	9
sub-18	2	10	4	11	4
sub-18	3	9	5	12	11
sub-18	4	9	5	12	9
sub-18	5	8	4	12	10
sub-19	1	11	8	12	9
sub-19	2	10	5	11	7
sub-19	3	9	6	12	11
sub-19	4	9	5	12	4
sub-19	5	8	2	12	11
sub-20	1	11	6	12	7
sub-20	2	10	5	11	8
sub-20	3	9	5	12	6
sub-20	4	9	4	12	6
sub-20	5	8	0	12	9
sub-21	1	11	9	12	9
sub-21	2	10	4	11	9
sub-21	3	9	5	12	4
sub-21	4	9	6	12	7
sub-21	5	8	6	12	11
sub-22	1	11	4	12	9
sub-22	2	10	2	11	4
sub-22	3	9	5	12	8
sub-22	4	9	6	12	6
sub-22	5	8	2	12	9
sub-23	1	11	11	12	11
sub-23	2	10	9	11	9
sub-23	3	9	8	12	10
sub-23	4	9	7	12	10
sub-23	5	8	4	12	12
sub-24	1	11	9	12	10
sub-24	2	10	7	11	7
sub-24	3	9	5	12	7
sub-24	4	9	6	12	12
sub-24	5	8	3	12	10
sub-25	1	11	7	12	9
sub-25	2	10	5	11	8
sub-25	3	9	6	12	9
sub-25	4	9	8	12	8
sub-25	5	8	5	12	9
sub-26	1	11	5	12	3
sub-26	2	10	2	11	2
sub-26	3	9	4	12	0
sub-26	4	9	1	12	2
sub-26	5	8	3	12	5
sub-27	1	11	3	12	3
sub-27	2	10	6	11	3
sub-27	3	9	2	12	4
sub-27	4	9	1	12	2
sub-27	5	8	3	12	2
sub-28	1	11	6	12	8
sub-28	2	10	4	11	3
sub-28	3	9	6	12	5
sub-28	4	9	5	12	8
sub-28	5	8	3	12	6
sub-29	1	11	3	12	5
sub-29	2	10	4	11	7
sub-29	3	9	7	12	6
sub-29	4	9	4	12	7
sub-29	5	8	4	12	9
sub-30	1	11	5	12	6
sub-30	2	10	3	11	4
sub-30	3	9	5	12	3
sub-30	4	9	2	12	5
sub-30	5	8	1	12	7
sub-31	1	11	4	12	2
sub-31	2	10	6	11	2
sub-31	3	9	3	12	5
sub-31	4	9	5	12	5
sub-31	5	8	5	12	8
sub-99	1	11	4	12	4
sub-99	2	10	4	11	1
sub-99	3	9	2	12	1
sub-99	4	9	1	12	5
sub-99	5	8	4	12	6
