participant_id	stimulus	engaging	enjoyable	educational
sub-01	Stim-01	5	5	6
sub-01	Stim-02	7	7	7
sub-01	Stim-03	5	5	1
sub-01	Stim-04	4	3	6
sub-01	Stim-05	5	5	5
sub-01	Stim-06	5	4	2
sub-02	Stim-01	5	6	6
sub-02	Stim-02	6	6	7
sub-02	Stim-03	5	5	6
sub-02	Stim-04	3	3	6
sub-02	Stim-05	5	5	6
sub-02	Stim-06	3	3	6
sub-03	Stim-01	6	6	6
sub-03	Stim-02	6	6	6
sub-03	Stim-03	3	4	4
sub-03	Stim-04	4	4	4
sub-03	Stim-05	4	4	4
sub-03	Stim-06	4	6	6
sub-04	Stim-01	6	6	6
sub-04	Stim-02	5	4	5
sub-04	Stim-03	5	4	5
sub-04	Stim-04	3	4	4
sub-04	Stim-05	5	4	5
sub-04	Stim-06	4	4	4
sub-05	Stim-01	7	7	7
sub-05	Stim-02	7	7	7
sub-05	Stim-03	4	4	4
sub-05	Stim-04	4	4	4
sub-05	Stim-05	7	7	7
sub-05	Stim-06	4	4	5
sub-06	Stim-01	5	6	5
sub-06	Stim-02	6	6	6
sub-06	Stim-03	6	6	4
sub-06	Stim-04	4	4	4
sub-06	Stim-05	4	5	4
sub-06	Stim-06	6	6	4
sub-07	Stim-01	5	5	5
sub-07	Stim-02	5	5	5
sub-07	Stim-03	4	5	2
sub-07	Stim-04	3	3	4
sub-07	Stim-05	5	5	5
sub-07	Stim-06	2	3	5
sub-09	Stim-01	6	5	5
sub-09	Stim-02	6	6	6
sub-09	Stim-03	2	1	1
sub-09	Stim-04	4	5	5
sub-09	Stim-05	5	5	5
sub-09	Stim-06	4	2	4
sub-10	Stim-01	6	6	7
sub-10	Stim-02	6	6	6
sub-10	Stim-03	6	5	5
sub-10	Stim-04	4	4	3
sub-10	Stim-05	3	3	5
sub-10	Stim-06	5	5	6
sub-11	Stim-01	5	5	5
sub-11	Stim-02	5	5	6
sub-11	Stim-03	1	2	5
sub-11	Stim-04	1	3	5
sub-11	Stim-05	5	4	4
sub-11	Stim-06	1	1	2
sub-12	Stim-01	6	6	6
sub-12	Stim-02	6	6	6
sub-12	Stim-03	6	6	6
sub-12	Stim-04	6	6	6
sub-12	Stim-05	5	5	5
sub-12	Stim-06	6	6	6
sub-13	Stim-01	5	4	5
sub-13	Stim-02	5	6	6
sub-13	Stim-03	4	3	5
sub-13	Stim-04	4	3	4
sub-13	Stim-05	4	4	3
sub-13	Stim-06	4	4	5
sub-15	Stim-01	7	7	7
sub-15	Stim-02	6	5	6
sub-15	Stim-03	6	6	6
sub-15	Stim-04	6	6	6
sub-15	Stim-05	6	5	6
sub-15	Stim-06	6	6	6
sub-16	Stim-01	3	3	5
sub-16	Stim-02	5	5	5
sub-16	Stim-03	4	3	3
sub-16	Stim-04	2	1	1
sub-16	Stim-05	3	3	3
sub-16	Stim-06	4	4	5
sub-17	Stim-01	7	7	7
sub-17	Stim-02	7	7	7
sub-17	Stim-03	6	5	7
sub-17	Stim-04	5	5	6
sub-17	Stim-05	7	7	7
sub-17	Stim-06	5	5	6
sub-18	Stim-01	6	6	6
sub-18	Stim-02	6	6	6
sub-18	Stim-03	6	6	6
sub-18	Stim-04	3	2	5
sub-18	Stim-05	2	2	5
sub-18	Stim-06	6	6	3
sub-19	Stim-01	6	6	6
sub-19	Stim-02	6	6	6
sub-19	Stim-03	3	3	3
sub-19	Stim-04	5	5	5
sub-19	Stim-05	6	7	5
sub-19	Stim-06	5	5	6
sub-21	Stim-01	6	6	6
sub-21	Stim-02	6	6	6
sub-21	Stim-03	5	5	4
sub-21	Stim-04	6	6	6
sub-21	Stim-05	6	6	6
sub-21	Stim-06	4	4	6
sub-22	Stim-01	7	6	6
sub-22	Stim-02	6	6	6
sub-22	Stim-03	3	3	6
sub-22	Stim-04	5	4	6
sub-22	Stim-05	1	2	4
sub-22	Stim-06	4	4	6
sub-23	Stim-01	6	5	6
sub-23	Stim-02	5	5	5
sub-23	Stim-03	5	5	4
sub-23	Stim-04	5	5	5
sub-23	Stim-05	6	6	6
sub-23	Stim-06	6	5	6
sub-24	Stim-01	4	3	5
sub-24	Stim-02	7	7	7
sub-24	Stim-03	6	6	5
sub-24	Stim-04	4	4	6
sub-24	Stim-05	6	6	6
sub-24	Stim-06	5	5	5
sub-25	Stim-01	6	6	7
sub-25	Stim-02	7	7	7
sub-25	Stim-03	6	6	6
sub-25	Stim-04	6	6	6
sub-25	Stim-05	6	6	7
sub-25	Stim-06	6	6	6
sub-26	Stim-01	5	5	5
sub-26	Stim-02	7	5	5
sub-26	Stim-03	3	3	5
sub-26	Stim-04	2	1	2
sub-26	Stim-05	5	5	6
sub-26	Stim-06	2	2	5
sub-27	Stim-01	6	6	6
sub-27	Stim-02	6	7	6
sub-27	Stim-03	6	5	6
sub-27	Stim-04	6	6	6
sub-27	Stim-05	6	5	6
sub-27	Stim-06	6	5	6
sub-28	Stim-01	7	7	6
sub-28	Stim-02	3	4	6
sub-28	Stim-03	1	1	2
sub-28	Stim-04	1	1	1
sub-28	Stim-05	4	4	4
sub-28	Stim-06	1	1	3
sub-29	Stim-01	5	4	6
sub-29	Stim-02	5	5	6
sub-29	Stim-03	2	2	5
sub-29	Stim-04	2	2	5
sub-29	Stim-05	5	4	6
sub-29	Stim-06	5	4	6
sub-30	Stim-01	3	2	4
sub-30	Stim-02	6	6	7
sub-30	Stim-03	1	1	1
sub-30	Stim-04	1	1	1
sub-30	Stim-05	2	1	4
sub-30	Stim-06	1	1	1
sub-31	Stim-01	6	6	6
sub-31	Stim-02	7	6	6
sub-31	Stim-03	5	2	5
sub-31	Stim-04	3	2	4
sub-31	Stim-05	1	1	3
sub-31	Stim-06	2	1	3
sub-32	Stim-01	7	7	7
sub-32	Stim-02	7	5	3
sub-32	Stim-03	3	3	5
sub-32	Stim-04	3	4	6
sub-32	Stim-05	6	6	7
sub-32	Stim-06	2	2	2
