Subject,State1_Style1,State2_Style1,State3_Style1,State4_Style1,State5_Style1,State6_Style1,State1_Style2,State2_Style2,State3_Style2,State4_Style2,State5_Style2,State6_Style2,State1_Style3,State2_Style3,State3_Style3,State4_Style3,State5_Style3,State6_Style3,Memory_Style1,Memory_Style2,Memory_Style3
sub-01,0.036997487,0.619660804,0.020954774,0.064484925,0.077625628,0.180276382,0.03690367,0.603233945,0.036972477,0.048463303,0.06293578,0.211490826,0.034613095,0.600595238,0.019315476,0.082559524,0.079821429,0.183095238,0.704861,0.722222,0.625
sub-02,0.066947236,0.253052764,0.015050251,0.124786432,0.093693467,0.446469849,0.086303879,0.181637931,0.011077586,0.054181034,0.066885776,0.599913793,0.075779412,0.270411765,0.020264706,0.093955882,0.088691176,0.450897059,0.402778,0.583333,0.631944
sub-03,0.03924569,0.656034483,0.014051724,0.054310345,0.021271552,0.215086207,0.047359914,0.580905172,0.021336207,0.047133621,0.027737069,0.275528017,0.040191176,0.659838235,0.014088235,0.046044118,0.015147059,0.224691176,0.236111,0.270833,0.25
sub-04,0.043944724,0.529899497,0.03321608,0.084798995,0.094472362,0.213668342,0.04262931,0.502715517,0.021002155,0.109590517,0.078739224,0.245323276,0.041544118,0.550661765,0.027102941,0.081102941,0.098455882,0.201132353,0.579861,0.611111,0.708333
sub-05,0.099987437,0.300979899,0.018643216,0.057173367,0.066306533,0.456909548,0.10293578,0.154931193,0.029426606,0.066720183,0.050091743,0.595894495,0.100691176,0.30125,0.0235,0.075941176,0.055088235,0.443529412,0.336806,0.388889,0.236111
sub-06,0.04701005,0.363957286,0.047022613,0.218366834,0.136482412,0.187160804,0.039568966,0.558006466,0.037478448,0.145689655,0.082489224,0.136767241,0.040941176,0.471102941,0.034352941,0.154823529,0.108514706,0.190264706,0.440972,0.333333,0.513889
sub-07,0.059899497,0.276319095,0.015917085,0.167977387,0.034057789,0.445829146,0.07549569,0.260581897,0.018232759,0.169127155,0.020905172,0.455657328,0.064941176,0.340911765,0.022088235,0.202279412,0.026897059,0.342882353,0.5625,0.701389,0.590278
sub-09,0.062135678,0.291909548,0.028203518,0.100339196,0.096180905,0.421231156,0.047403017,0.359913793,0.024978448,0.133846983,0.088038793,0.345818966,0.084029412,0.250691176,0.022926471,0.080970588,0.085485294,0.475897059,0.28125,0.305556,0.402778
sub-10,0.017650754,0.71669598,0.01491206,0.065753769,0.053379397,0.13160804,0.026651376,0.614495413,0.017133028,0.09412844,0.085550459,0.162041284,0.0325,0.646088235,0.015558824,0.073367647,0.075720588,0.156764706,0.739583,0.722222,0.6875
sub-11,0.044899497,0.551055276,0.008417085,0.068869347,0.012675879,0.314082915,0.041519397,0.564859914,0.01106681,0.081293103,0.015528017,0.285732759,0.044514706,0.553852941,0.011602941,0.085573529,0.014441176,0.290014706,0.413194,0.340278,0.506944
sub-12,0.042672414,0.485517241,0.015043103,0.094913793,0.028728448,0.333125,0.020275229,0.741123853,0.013302752,0.048623853,0.023853211,0.152821101,0.029294118,0.659955882,0.013191176,0.071852941,0.023514706,0.202191176,0.361111,0.75,0.472222
sub-13,0.027575377,0.729635678,0.006809045,0.049798995,0.010615578,0.175565327,0.028265086,0.718739224,0.007209052,0.039903017,0.014310345,0.191573276,0.032470588,0.703,0.013397059,0.056838235,0.018632353,0.175661765,0.75,0.465278,0.395833
sub-15,0.035100503,0.638128141,0.00959799,0.075288945,0.012713568,0.229170854,0.024310345,0.725290948,0.016390086,0.065948276,0.013092672,0.154967672,0.037764706,0.595808824,0.009529412,0.096382353,0.015455882,0.245058824,0.597222,0.590278,0.458333
sub-16,0.113002513,0.245427136,0.013052764,0.025829146,0.042148241,0.560540201,0.104105603,0.184461207,0.015053879,0.04205819,0.071659483,0.582661638,0.086369048,0.107470238,0.002172619,0.016339286,0.028154762,0.759494048,0.496528,0.340278,0.291667
sub-17,0.068467337,0.370138191,0.02678392,0.100464824,0.038454774,0.395690955,0.041756466,0.586767241,0.013103448,0.066487069,0.02169181,0.270193966,0.083191176,0.310720588,0.015308824,0.063352941,0.030029412,0.497397059,0.524306,0.409722,0.3125
sub-18,0.015138191,0.791319095,0.002927136,0.037575377,0.008253769,0.144786432,0.015431034,0.783017241,0.004536638,0.038351293,0.010732759,0.147931034,0.020529412,0.754676471,0.005,0.047161765,0.013044118,0.159588235,0.517361,0.534722,0.479167
sub-19,0.046595477,0.569020101,0.020879397,0.058856784,0.08048995,0.224158291,0.049234914,0.543211207,0.009967672,0.087553879,0.035431034,0.274601293,0.050455882,0.584485294,0.009058824,0.063867647,0.055205882,0.236926471,0.513889,0.305556,0.409722
sub-21,0.023077889,0.742826633,0.013002513,0.053165829,0.010766332,0.157160804,0.026885776,0.614461207,0.008717672,0.046971983,0.011153017,0.291810345,0.017735294,0.786441176,0.010705882,0.043367647,0.006808824,0.134941176,0.496528,0.576389,0.548611
sub-22,0.057713568,0.458580402,0.037952261,0.154095477,0.043555276,0.248103015,0.048696121,0.547661638,0.036842672,0.125086207,0.037553879,0.204159483,0.054779412,0.522161765,0.058882353,0.168602941,0.034985294,0.160588235,0.559028,0.4375,0.423611
sub-23,0.05611809,0.469660804,0.020163317,0.17669598,0.007324121,0.270037688,0.063038793,0.445334052,0.016681034,0.170086207,0.008060345,0.296799569,0.057676471,0.4495,0.035470588,0.215411765,0.015352941,0.226588235,0.506944,0.493056,0.5625
sub-24,0.05919598,0.490929648,0.015954774,0.086105528,0.059120603,0.288693467,0.03862069,0.572112069,0.015614224,0.07200431,0.053243534,0.248405172,0.037191176,0.655367647,0.014955882,0.054720588,0.062117647,0.175647059,0.520833,0.597222,0.652778
